nombre_estacion,cantidad_recorridos
"PARQUE PATRICIOS II",105
"PARQUE LAS HERAS",102
CONSTITUCIÓN,94
"PLAZA ITALIA",93
"BOEDO Y VENEZUELA",89
MALBA,86
"BUENOS AIRES",81
"CLUB CIUDAD DE BUENOS AIRES",72
MONROE,69
"PLAZA ARENALES",63
"PLAZA DE LA SHOÁ",62
"MARCELO T. DE ALVEAR",60
MONTAÑESES,59
"PLAZA NORUEGA",54
MEXICO,53
"PARQUE SARMIENTO I",53
CONGRESO,52
"CRISOLOGO LARRALDE",49
"JUANA MANSO I",46
"AV. WARNES",46
PACIFICO,45
ROSETI,44
"HOSPITAL ALEMÁN",43
JUNCAL,43
"GODOY CRUZ Y LIBERTADOR",43
"PLAZOLETA RÍO DE LA PLATA",43
ONCE,42
"PARQUE CENTENARIO",41
AREVALO,40
PUEYRREDÓN,39
"VILLA DEL PARQUE",39
UADE,39
"MINISTERIO DE ECONOMIA",39
AMENABAR,39
"RETIRO II",38
"ESTADOS UNIDOS Y BOEDO",38
ECUADOR,37
"PLAZA ALEMANIA",37
"PLAZA SABATTINI",36
"FITZ ROY",34
"JULIETA LANTERI",34
"VILLA URQUIZA",34
"COMUNA 4",34
"PLAZA ARISTÓBULO DEL VALLE",33
"PARQUE DE LA ESTACIÓN",33
"AV. CABILDO",33
CERRITO,32
"ESTADOS UNIDOS",32
"AVELINO DIAZ",32
"SAN MIGUEL DE GARICOITS",31
"PLAZA ROMA",30
"PLAZOLETA CELEDONIO FLORES",30
"PARQUE DEL BAJO",29
"MANZANA 66",29
"FACULTAD DE DERECHO",29
"CORONEL DIAZ",29
"MADERO OFFICE",29
"PARQUE LEZAMA",28
"PLAZA ALMAGRO",28
"CEMENTERIO DE RECOLETA",28
"AUSTRIA Y FRENCH",28
"PARQUE CHACABUCO II",28
BILLINGHURST,26
"AZUCENA VILLAFLOR",26
"HOSPITAL FRANCÉS",26
"DONATO ALVAREZ",26
"SAN JOSE DE FLORES",26
"JULIÁN ÁLVAREZ",25
"PLAZA BOLIVIA",25
AGRONOMIA,25
"FITZ ROY & GORRITI",24
"PLAZA COLEGIALES",24
"PLAZA VÉLEZ SARSFIELD",24
"HUMBERTO 1°",23
YATAY,23
"VIRREY CEVALLOS",23
GUATEMALA,23
